,Place_Id,Place_Name,Description,Category,City,Price,Rating,Coordinate,Lat,Long,Tags,Clean_Description
10,11,Pulau Bidadari,"Pulau Bidadari merupakan salah satu resor di Kabupaten Kepulauan Seribu, Jakarta. Sebelum bernama Pulau Bidadari, pulau ini memiliki dua nama yaitu Pulau Sakit dan Pulau Purmerend",Bahari,Jakarta,5000,4.6,"{'lat': -6.035832999999999, 'lng': 106.746944}",-603.583,1.067.469,"['pulau', 'bidadari', 'purmerend']",pulau bidadari rupa salah satu resor kabupaten pulau ribu jakarta nama pulau bidadari pulau milik nama pulau sakit pulau purmerend
11,12,Pulau Pari,"Pulau Pari adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia.",Bahari,Jakarta,150000,4.0,"{'lat': -5.9074328, 'lng': 106.5863989}",-590.743,1.065.864,"['pulau', 'pari', 'ibukota']",pulau pari buah pulau letak pulau ribu daerah khusus ibukota jakarta indonesia
12,13,Pulau Pramuka,Pulau Pramuka merupakan salah satu pulau yang berada dalam gugusan Kepulauan Seribu. Pulau ini merupakan pusat administrasi dan pemerintahan Kabupaten Administrasi Kepulauan Seribu. Pulau Pramuka termasuk ke dalam wilayah Kelurahan Pulau Panggang.,Bahari,Jakarta,5000,4.2,"{'lat': -5.745962, 'lng': 106.6136577}",-574.596,1.066.137,"['pulau', 'pramuka', 'administrasi']",pulau pramuka rupa salah satu pulau gugus pulau ribu pulau rupa pusat administrasi perintah kabupaten administrasi pulau ribu pulau pramuka masuk wilayah lurah pulau panggang
13,14,Pulau Pelangi,"Pulau Pelangi adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia. Pulau Pelangi adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia, Pulau Pelangi / biasa disebut Pulau Petondan Besar ( Pelangi Island ) merupakan pulau resort yang sesuai untuk berlibur. Pulau Resort ini mempunyai konsep natural, karena sebagian wilayahnya di penuhi dengan rerimbunan pohon yang menyejukan mata, Keindahan alam dan lautnya layak untuk dikunjungi. Dikelilingi oleh rimbunan pohon dan laut berwarana biru jernih membuat suasanan sejuk dan nyaman. Kondisi yang ideal untuk wisata bersama keluarga. Dengan akomodasi yang langsung menghadap ke laut membuat turis betah berlama-lama di Pulau Pelangi.\nMenurut informasi, Pulau Pelangi atau Pulau Petondan Besar merupakan pulau yang berada pada gugusan Kepulauan Seribu. Secara administratif termasuk dalam wilayah Kabupaten Administratif Kepulauan Seribu provinsi DKI Jakarta. Bersamaan dengan Pulau Petondan Kecil merupakan sebuah resort berlibur. Letaknya berdekatan dengan gugusan yang sama dengan Pulau Kelor dan Pulau Kelapa.\nUntuk mencapai Pelangi Resort dibutuhkan waktu 90 menit perjalanan dari dermaga Pantai Mutiara. Terdapat kapal speedboat khusus di pier R1 Pantai Mutiara yang membawa penumpang kesana. Letaknya 60 â€“ 70 km dari Pantai Mutiara memang lumayan jauh. Namun perjalanan anda terbayar lunas begitu sampai di Pulau Pelangi.",Bahari,Jakarta,900000,4.8,"{'lat': -5.587055, 'lng': 106.5885}",-558.706,1.065.885,"['pulau', 'pelangi', 'resort']",pulau pelangi buah pulau letak pulau ribu daerah khusus ibukota jakarta indonesia pulau pelangi buah pulau letak pulau ribu daerah khusus ibukota jakarta indonesia pulau pelangi biasa sebut pulau petondan besar pelangi island rupa pulau resort sesuai libur pulau resort punya konsep natural wilayah penuh rimbun pohon sejuk mata indah alam laut layak kunjung keliling rimbun pohon laut berwarana biru jernih buat suasanan sejuk nyaman kondisi ideal wisata sama keluarga akomodasi langsung hadap laut buat turis betah berlamalama pulau pelanginmenurut informasi pulau pelangi pulau petondan besar rupa pulau gugus pulau ribu cara administratif masuk wilayah kabupaten administratif pulau ribu provinsi dki jakarta sama pulau petondan kecil rupa buah resort libur letak dekat gugus sama pulau kelor pulau kelapanuntuk capai pelangi resort butuh waktu 90 menit jalan dermaga pantai mutiara kapal speedboat khusus pier r1 pantai mutiara bawa tumpang kesana letak 60 70 km pantai mutiara memang lumayan jauh jalan bayar lunas pulau pelangi
14,15,Pasar Seni,"Pasar Seni merupakan Pusat kerajinan dan kesenian yang menjadi wadah bagi seniman berbakat untuk menyalurkan kerajinan seni yang mereka miliki. Seniman dapat bertemu dengan para kolektor seni dan pengusaha untuk saling berbagi informasi dan memasarkan produk yang dimiliki. Didirikan awal tahun 1977, dengan peletakan batu pertama oleh Bang Ali Sadikin, Gubernur pertama DKI Jakarta, tepatnya pada bulan Juli 1977. Dan diresmikan oleh Gubernur H. Tjokropanolo pada tanggal 17 Desember 1977. Sejak diresmikan Pasar Seni, mendapat sambutan positif bagi pada pecinta seni yang ada.",Pusat Perbelanjaan,Jakarta,0,4.4,"{'lat': -6.1766868, 'lng': 106.8417666}",-617.669,1.068.418,"['seni', '1977', 'pasar']",pasar seni rupa pusat rajin seni jadi wadah seniman bakat salur rajin seni milik seniman temu kolektor seni usaha saling informasi pasar produk milik diri awal tahun 1977 leta batu pertama bang ali sadikin gubernur pertama dki jakarta tepat bulan juli 1977 resmi gubernur h tjokropanolo tanggal 17 desember 1977 sejak resmi pasar seni sambut positif cinta seni
15,16,Jembatan Kota Intan,"Jembatan Kota Intan adalah jembatan tertua di Indonesia yang dibangun pada tahun 1628 oleh pemerintah Vereenigde Oostindische Compagnie atau VOC, atau masyarakat kita lebih familiar dengan sebutan Kumpeni. Jembatan itu kini terletak di Kali Besar kawasan Kota Tua wilayah Jakarta Barat dan berada di bawah pengelolaan Dinas Pariwisata dan Kebudayaan Provinsi DKI Jakarta.",Budaya,Jakarta,0,4.3,"{'lat': -6.1314572, 'lng': 106.8106169}",-613.146,1.068.106,"['jembatan', 'tua', 'vereenigde']",jembatan kota intan jembatan tua indonesia bangun tahun 1628 perintah vereenigde oostindische compagnie voc masyarakat lebih familiar sebut kumpeni jembatan kini letak kali besar kawasan kota tua wilayah jakarta barat bawah kelola dinas pariwisata budaya provinsi dki jakarta
16,17,Museum Fatahillah,"Museum Fatahillah memiliki nama resmi Museum Sejarah Jakarta adalah sebuah museum yang terletak di Jalan Taman Fatahillah No. 1, Jakarta Barat dengan luas lebih dari 1.300 meter persegi.\nBangunan ini dahulu merupakan balai kota Batavia (bahasa Belanda: Stadhuis van Batavia) yang dibangun pada tahun 1707-1710 atas perintah Gubernur-Jendral Joan van Hoorn. Bangunan ini menyerupai Istana Dam di Amsterdam, terdiri atas bangunan utama dengan dua sayap di bagian timur dan barat serta bangunan sanding yang digunakan sebagai kantor, ruang pengadilan, dan ruang-ruang bawah tanah yang dipakai sebagai penjara. Pada tanggal 30 Maret 1974, bangunan ini kemudian diresmikan oleh bapak Ali Sadikin sebagai Museum Sejarah Jakarta.",Budaya,Jakarta,5000,4.4,"{'lat': -6.136448899999999, 'lng': 106.8130661}",-613.645,1.068.131,"['bangun', 'museum', 'fatahillah']",museum fatahillah milik nama resmi museum sejarah jakarta buah museum letak jalan taman fatahillah no 1 jakarta barat luas lebih 1300 meter perseginbangunan rupa balai kota batavia bahasa belanda stadhuis van batavia bangun tahun 17071710 atas perintah gubernurjendral joan van hoorn bangun rupa istana dam amsterdam diri atas bangun utama sayap timur barat bangun sanding bagai kantor ruang adil ruangruang bawah tanah pakai bagai penjara tanggal 30 maret 1974 bangun kemudian resmi bapak ali sadikin bagai museum sejarah jakarta
17,18,Museum Bank Indonesia,"Museum Bank Indonesia adalah sebuah museum di Jakarta, Indonesia yang terletak di Jl. Pintu Besar Utara No.3, Jakarta Barat (depan stasiun Beos Kota), dengan menempati area bekas gedung Bank Indonesia Kota yang merupakan cagar budaya peninggalan De Javasche Bank yang beraliran neo-klasikal, dipadu dengan pengaruh lokal, dan dibangun pertama kali pada tahun 1828.\nPada tahun 1625, di tempat ini pernah dibangun sebuah gereja sederhana untuk umat Protestan. Pada tahun 1628, gereja ini dibongkar karena digunakan untuk tempat meriam besar ketika puluhan ribu tentara Sultan Agung menyerang Batavia untuk pertama kali.Museum ini menyajikan informasi peran Bank Indonesia dalam perjalanan sejarah bangsa yang dimulai sejak sebelum kedatangan bangsa barat di Nusantara hingga terbentuknya Bank Indonesia pada tahun 1953 dan kebijakan-kebijakan Bank Indonesia, meliputi pula latar belakang dan dampak kebijakan Bank Indonesia bagi masyarakat sampai dengan tahun 2005. Penyajiannya dikemas sedemikian rupa dengan memanfaatkan teknologi modern dan multi media, seperti display elektronik, panel statik, televisi plasma, dan diorama sehingga menciptakan kenyamanan pengunjung dalam menikmati Museum Bank Indonesia. Selain itu terdapat pula fakta dan koleksi benda bersejarah pada masa sebelum terbentuknya Bank Indonesia, seperti pada masa kerajaan-kerajaan Nusantara, antara lain berupa koleksi uang numismatik yang ditampilkan juga secara menarik.\nPeresmian Museum Bank Indonesia dilakukan melalui dua tahap, yaitu peresmian tahap I dan mulai dibuka untuk masyarakat (soft opening) pada tanggal 15 Desember 2006 oleh Gubernur Bank Indonesia saat itu, Burhanuddin Abdullah, dan peresmian tahap II (grand opening) oleh Presiden RI Susilo Bambang Yudhoyono, pada tanggal 21 Juli 2009.\nMuseum Bank Indonesia buka setiap hari kecuali Senin dan hari libur nasional.",Budaya,Jakarta,2000,4.7,"{'lat': -6.137127, 'lng': 106.813005}",-613.713,106.813,"['bank', 'indonesia', 'tahap']",museum bank indonesia buah museum jakarta indonesia letak jl pintu besar utara no3 jakarta barat depan stasiun beos kota tempat area bekas gedung bank indonesia kota rupa cagar budaya tinggal de javasche bank alir neoklasikal padu pengaruh lokal bangun pertama kali tahun 1828npada tahun 1625 tempat pernah bangun buah gereja sederhana umat protestan tahun 1628 gereja bongkar tempat meriam besar puluh ribu tentara sultan agung serang batavia pertama kalimuseum saji informasi peran bank indonesia jalan sejarah bangsa mulai sejak datang bangsa barat nusantara hingga bentuk bank indonesia tahun 1953 kebijakankebijakan bank indonesia liput latar belakang dampak bijak bank indonesia masyarakat tahun 2005 saji kemas rupa manfaat teknologi modern multi media display elektronik panel statik televisi plasma diorama cipta nyaman unjung nikmat museum bank indonesia fakta koleksi benda sejarah masa bentuk bank indonesia masa kerajaankerajaan nusantara upa koleksi uang numismatik tampil cara menariknperesmian museum bank indonesia laku lalu tahap resmi tahap i mulai buka masyarakat soft opening tanggal 15 desember 2006 gubernur bank indonesia burhanuddin abdullah resmi tahap ii grand opening presiden ri susilo bambang yudhoyono tanggal 21 juli 2009nmuseum bank indonesia buka tiap hari senin hari libur nasional
18,19,Kidzania,"KidZania adalah sebuah waralaba swasta Meksiko berupa pusat hiburan keluarga yang saat ini beroperasi di 23 lokasi, yang memungkinkan anak-anak melakukan pekerjaan orang dewasa dan mendapat bayaran. KidZania telah dikunjungi oleh lebih dari 31 juta pengunjung di seluruh dunia sejak pembukaannya, menjadikannya salah satu merek hiburan global yang paling cepat berkembang di dunia.",Taman Hiburan,Jakarta,185000,4.6,"{'lat': -6.225073499999999, 'lng': 106.8097144}",-622.507,1.068.097,"['kidzania', 'hibur', 'dunia']",kidzania buah waralaba swasta meksiko upa pusat hibur keluarga operasi 23 lokasi mungkin anakanak laku kerja orang dewasa bayar kidzania kunjung lebih 31 juta unjung seluruh dunia sejak buka jadi salah satu merek hibur global paling cepat kembang dunia
19,20,Museum Taman Prasasti,"Museum Taman Prasasti adalah sebuah museum cagar budaya peninggalan masa kolonial Belanda yang berada di Jalan Tanah Abang No. 1, Jakarta Pusat. Museum ini memiliki koleksi prasasti nisan kuno serta miniatur makam khas dari 27 provinsi di Indonesia, beserta koleksi kereta jenazah antik. Museum seluas 1,2 ha ini merupakan museum terbuka yang menampilkan karya seni dari masa lampau tentang kecanggihan para pematung, pemahat, kaligrafer dan sastrawan yang menyatu.",Budaya,Jakarta,2000,4.5,"{'lat': -6.172224099999998, 'lng': 106.8189695}",-617.222,106.819,"['museum', 'prasasti', 'masa']",museum taman prasasti buah museum cagar budaya tinggal masa kolonial belanda jalan tanah abang no 1 jakarta pusat museum milik koleksi prasasti nisan kuno miniatur makam khas 27 provinsi indonesia koleksi kereta jenazah antik museum luas 12 ha rupa museum buka tampil karya seni masa lampau canggih patung pahat kaligrafer sastrawan satu
20,21,Museum Wayang,"Museum Wayang adalah sebuah museum yang berlokasi di Jalan Pintu Besar Utara Nomor 27, Jakarta Barat.",Budaya,Jakarta,5000,4.5,"{'lat': -6.1349072, 'lng': 106.8124452}",-613.491,1.068.124,"['museum', 'wayang', '27']",museum wayang buah museum lokasi jalan pintu besar utara nomor 27 jakarta barat
21,22,Masjid Istiqlal,"Masjid Istiqlal (arti harfiah: Masjid Merdeka) adalah masjid nasional negara Republik Indonesia yang terletak di bekas Taman Wilhelmina, di Timur Laut Lapangan Medan Merdeka yang di tengahnya berdiri Monumen Nasional (Monas), di pusat ibukota Jakarta. Masjid ini merupakan salah satu dari 10 masjid terbesar kapasitasnya di dunia yang dapat menampung lebih dari 200.000 jamaah. Di seberang Timur masjid ini berdiri Gereja Katedral Jakarta. Ketua Harian Badan Pengelola Masjid Istiqlal (BPMI) sekaligus Imam Besar Masjid Istiqlal adalah Prof. Dr. Nasaruddin Umar, M.A. Pembangunan masjid ini diprakarsai oleh Presiden Republik Indonesia saat itu, Ir. Soekarno. Peletakan batu pertama sebagai tanda dimulainya pembangunan Masjid Istiqlal dilakukan oleh Ir. Soekarno pada tanggal 24 Agustus 1961. Arsitek Masjid Istiqlal adalah Frederich Silaban, seorang Nasrani.Masjid ini memiliki gaya arsitektur modern dengan dinding dan lantai berlapis marmer, dihiasi ornamen geometrik dari baja antikarat. Bangunan utama masjid ini terdiri dari lima lantai dan satu lantai dasar. Bangunan utama itu dimahkotai satu kubah besar berdiameter 45 meter yang ditopang 12 tiang besar. Menara tunggal setinggi total 96,66 meter menjulang di sudut Selatan selasar masjid. Masjid ini mampu menampung lebih dari 200.000 jamaah.Selain digunakan sebagai aktivitas ibadah umat Islam, masjid ini juga digunakan sebagai kantor berbagai organisasi Islam di Indonesia, aktivitas sosial, dan kegiatan umum. Masjid ini juga menjadi salah satu daya tarik wisata yang terkenal di Jakarta. Kebanyakan wisatawan yang berkunjung umumnya wisatawan domestik di samping sebagian wisatawan asing yang beragama Islam. Masyarakat non-Muslim juga dapat berkunjung ke masjid ini setelah sebelumnya mendapat pembekalan informasi mengenai Islam dan Masjid Istiqlal, meskipun bagian yang boleh dikunjungi kaum non-Muslim terbatas dan harus didampingi pemandu.\nPada tiap hari besar Islam seperti Ramadhan, Idul Fitri, Idul Adha, Tahun Baru Hijriyah, Maulid Nabi Muhammad serta Isra dan Mi'raj, Presiden Republik Indonesia selalu mengadakan kegiatan keagamaan di masjid ini yang disiarkan secara langsung melalui televisi nasional (TVRI) dan sebagian televisi swasta.",Tempat Ibadah,Jakarta,0,4.7,"{'lat': -6.17017, 'lng': 106.83139}",-617.017,1.068.314,"['masjid', 'istiqlal', 'islam']",masjid istiqlal arti harfiah masjid merdeka masjid nasional negara republik indonesia letak bekas taman wilhelmina timur laut lapang medan merdeka tengah diri monumen nasional monas pusat ibukota jakarta masjid rupa salah satu 10 masjid besar kapasitas dunia tampung lebih 200000 jamaah seberang timur masjid diri gereja katedral jakarta ketua hari badan kelola masjid istiqlal bpmi sekaligus imam besar masjid istiqlal prof dr nasaruddin umar ma bangun masjid prakarsa presiden republik indonesia ir soekarno leta batu pertama bagai tanda mula bangun masjid istiqlal laku ir soekarno tanggal 24 agustus 1961 arsitek masjid istiqlal frederich silaban orang nasranimasjid milik gaya arsitektur modern dinding lantai lap marmer hias ornamen geometrik baja antikarat bangun utama masjid diri lima lantai satu lantai dasar bangun utama mahkota satu kubah besar diameter 45 meter topang 12 tiang besar menara tunggal setinggi total 9666 meter julang sudut selatan selasar masjid masjid mampu tampung lebih 200000 jamaahselain bagai aktivitas ibadah umat islam masjid bagai kantor bagai organisasi islam indonesia aktivitas sosial giat umum masjid jadi salah satu daya tarik wisata kenal jakarta banyak wisatawan kunjung umum wisatawan domestik samping wisatawan asing agama islam masyarakat nonmuslim kunjung masjid bekal informasi kena islam masjid istiqlal meski kunjung kaum nonmuslim batas damping pemandunpada tiap hari besar islam ramadhan idul fitri idul adha tahun baru hijriyah maulid nabi muhammad isra miraj presiden republik indonesia selalu giat agama masjid siar cara langsung lalu televisi nasional tvri televisi swasta
22,23,Gereja Katedral,"Gereja Katedral Jakarta, atau bernama resmi Gereja Santa Maria Diangkat Ke Surga (bahasa Jerman: De Kerk van Onze Lieve Vrouwe ten Hemelopneming; bahasa Inggris: The Church of Our Lady of the Assumption) adalah sebuah gereja di Jakarta. Gedung gereja ini diresmikan pada 1901 dan dibangun dengan arsitektur neo-gotik dari Eropa, yakni arsitektur yang sangat lazim digunakan untuk membangun gedung gereja beberapa abad yang lalu.",Tempat Ibadah,Jakarta,0,4.8,"{'lat': -6.169225000000001, 'lng': 106.833063}",-616.923,1.068.331,"['gereja', 'of', 'the']",gereja katedral jakarta nama resmi gereja santa maria angkat surga bahasa jerman de kerk van onze lieve vrouwe ten hemelopneming bahasa inggris the church of our lady of the assumption buah gereja jakarta gedung gereja resmi 1901 bangun arsitektur neogotik eropa arsitektur sangat lazim bangun gedung gereja beberapa abad lalu
23,24,Museum Nasional,"Museum Nasional Republik Indonesia atau Museum Gajah, adalah sebuah museum arkeologi, sejarah, etnografi, dan geografi yang terletak di Jakarta Pusat dan persisnya di Jalan Merdeka Barat 12. Museum ini merupakan museum pertama dan terbesar di Asia Tenggara.",Budaya,Jakarta,5000,4.6,"{'lat': -6.176402099999999, 'lng': 106.8215901}",-61.764,1.068.216,"['museum', 'etnografi', 'geografi']",museum nasional republik indonesia museum gajah buah museum arkeologi sejarah etnografi geografi letak jakarta pusat persis jalan merdeka barat 12 museum rupa museum pertama besar asia tenggara
